date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:24	248750/248750	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2019:54:25%20GMT	https://fiatoairportcity.com.vn/tien-ich/	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/tien-ich/index.html	(from https://fiatoairportcity.com.vn/)
02:55:24	248494/248494	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2019:54:25%20GMT	https://fiatoairportcity.com.vn/thu-vien/	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/thu-vien/index.html	(from https://fiatoairportcity.com.vn/)
02:55:24	214836/214836	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2019:54:27%20GMT	https://fiatoairportcity.com.vn/category/tin-tuc/	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/category/tin-tuc/index.html	(from https://fiatoairportcity.com.vn/)
02:55:24	253385/253385	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3ddc9%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.0/jquery-ui.min.js	C:/FIOTIO/FIATO/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.12.0/jquery-ui.min.js	(from https://fiatoairportcity.com.vn/)
02:55:24	204788/204788	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20May%202024%2019:54:27%20GMT	https://fiatoairportcity.com.vn/lien-he/	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/lien-he/index.html	(from https://fiatoairportcity.com.vn/)
02:55:25	254/254	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20May%202024%2019:55:27%20GMT	https://cdn.rawgit.com/YuriGor/jquery.panzoom/ignoreChildrensEvents/dist/jquery.panzoom.min.js	C:/FIOTIO/FIATO/cdn.rawgit.com/YuriGor/jquery.panzoom/ignoreChildrensEvents/dist/jquery.panzoom.min.4d.delayed	(from https://fiatoairportcity.com.vn/)
02:55:25	12629/12629	---M-Z	200	added ('OK')	application/javascript	etag:W/%223155-AUSSNAX9NHVxLSs97ar3DPaPV/M%22	https://cdn.jsdelivr.net/gh/YuriGor/jquery.panzoom@ignoreChildrensEvents/dist/jquery.panzoom.min.js	C:/FIOTIO/FIATO/cdn.jsdelivr.net/gh/YuriGor/jquery.panzoom@ignoreChildrensEvents/dist/jquery.panzoom.min.js	(from https://fiatoairportcity.com.vn/)
02:55:25	1483148/1483148	---M--	200	added ('OK')	image/png	etag:%2216a18c-61865bef8bdc0%22	https://fiatoairportcity.com.vn/wp-content/uploads/giao-dien-web_par1-01.png	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/giao-dien-web_par1-01.png	(from https://fiatoairportcity.com.vn/)
02:55:26	1244966/1244966	---M--	200	added ('OK')	image/jpeg	etag:%2212ff26-61865c2217500%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC_Lobby-1-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC_Lobby-1-scaled.jpg	(from https://fiatoairportcity.com.vn/)
02:55:26	1234184/1234184	---M--	200	added ('OK')	image/jpeg	etag:%2212d508-61865c1f3ae40%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC02_BBQ-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC02_BBQ-scaled.jpg	(from https://fiatoairportcity.com.vn/)
02:55:26	942834/942834	---M--	200	added ('OK')	image/jpeg	etag:%22e62f2-61865c11e0ec0%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC03_Vuon-the-chat-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC03_Vuon-the-chat-scaled.jpg	(from https://fiatoairportcity.com.vn/)
02:55:26	1036647/1036647	---M--	200	added ('OK')	image/jpeg	etag:%22fd167-61865c2217500%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC_Tien-ich-mai-02-Coffee-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC_Tien-ich-mai-02-Coffee-scaled.jpg	(from https://fiatoairportcity.com.vn/)
02:55:27	821579/821579	---M--	200	added ('OK')	image/jpeg	etag:%22c894b-61865c2217500%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC16_Key-Visual-3_FINAL-1-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC16_Key-Visual-3_FINAL-1-scaled.jpg	(from https://fiatoairportcity.com.vn/)
02:55:27	788770/788770	---M--	200	added ('OK')	image/jpeg	etag:%22c0922-61865c14bd580%22	https://fiatoairportcity.com.vn/wp-content/uploads/PC12_Shophouse_FINAL-1-scaled.jpg	C:/FIOTIO/FIATO/fiatoairportcity.com.vn/wp-content/uploads/PC12_Shophouse_FINAL-1-scaled.jpg	(from https://fiatoairportcity.com.vn/)
